번호,가맹점명,승인일시,승인금액,할부,카드사,승인번호,구분,TID
70,신나라콜라텍1,2025-12-25 14:55:47,"13,000",일시불,01,63219339,승인,1047334507
71,신나라콜라텍1,2025-12-25 14:54:23,"75,000",일시불,07,30031734,승인,1047334507
72,푸라닭서초2동점,2025-12-25 14:52:11,"179,800",일시불,03,20815200,승인,1047365188
73,신나라콜라텍1,2025-12-25 14:48:34,"22,000",일시불,12,53151383,승인,1047334507
74,신나라콜라텍1,2025-12-25 14:46:06,"31,000",일시불,31,83602437,승인,1047334507
75,올빼미카워시,2025-12-25 14:44:08,"55,000",일시불,03,18503704,승인,1047363400
76,푸라닭서초2동점,2025-12-25 14:42:16,"31,400",일시불,07,00877572,승인,1047365188
77,푸라닭서초2동점,2025-12-25 14:41:15,"29,400",일시불,04,42263151,승인,1047365188
78,푸라닭서초2동점,2025-12-25 14:40:15,"36,900",일시불,04,93334250,승인,1047365188
79,신나라콜라텍1,2025-12-25 14:39:02,"19,000",일시불,04,00206946,승인,1047334507
80,신나라콜라텍1,2025-12-25 14:37:35,"13,000",일시불,07,30059572,승인,1047334507
81,푸라닭서초2동점,2025-12-25 14:37:11,"31,900",일시불,01,35556948,승인,1047365188
82,신나라콜라텍1,2025-12-25 14:35:41,"15,000",일시불,02,42913687,승인,1047334507
83,가을다방,2025-12-25 14:35:16,"11,000",일시불,06,42876848,승인,1047388121
84,신나라콜라텍1,2025-12-25 14:29:16,"3,000",일시불,02,42821669,승인,1047334507
85,시앤유,2025-12-25 14:18:48,"1,500,000",12개월,03,89439644,승인,WNO1754986085
86,신나라콜라텍1,2025-12-25 14:07:40,"15,000",일시불,07,30017959,승인,1047334507
87,올빼미카워시,2025-12-25 14:02:11,"55,000",일시불,07,00639172,승인,1047363400
88,신나라콜라텍3,2025-12-25 14:02:04,"6,000",일시불,02,42430062,승인,1047334509
89,신나라콜라텍1,2025-12-25 14:01:34,"7,000",일시불,02,42416235,승인,1047334507
90,신나라콜라텍1,2025-12-25 13:53:27,"14,000",일시불,12,52481754,승인,1047334507
91,신나라콜라텍1,2025-12-25 13:52:30,"17,000",일시불,12,52469758,승인,1047334507
92,신나라콜라텍1,2025-12-25 13:50:59,"10,000",일시불,07,21080915,승인,1047334507
93,신나라콜라텍1,2025-12-25 13:43:59,"13,000",일시불,12,52364555,승인,1047334507
94,신나라콜라텍1,2025-12-25 13:39:48,"16,000",일시불,02,42102197,승인,1047334507
95,신나라콜라텍1,2025-12-25 13:39:26,"6,000",일시불,31,82682047,승인,1047334507
96,신나라콜라텍1,2025-12-25 13:35:13,"22,000",일시불,01,35231201,승인,1047334507
97,신나라콜라텍1,2025-12-25 13:34:30,"25,000",일시불,12,52246502,승인,1047334507
98,가을다방,2025-12-25 13:34:09,"11,000",일시불,01,35222175,승인,1047388121
99,신나라콜라텍1,2025-12-25 13:31:47,"5,000",일시불,01,35221613,승인,1047334507
100,신나라콜라텍2,2025-12-25 13:30:20,"4,000",일시불,12,52194352,승인,1047334508
101,신나라콜라텍2,2025-12-25 13:25:53,"28,000",일시불,07,30018187,승인,1047334508
102,신나라콜라텍2,2025-12-25 13:25:06,"13,000",일시불,01,35173018,승인,1047334508
103,신나라콜라텍2,2025-12-25 13:19:43,"23,000",일시불,31,83380213,승인,1047334508
104,가을다방,2025-12-25 13:17:14,"11,000",일시불,12,52007392,승인,1047388121
105,신나라콜라텍2,2025-12-25 13:10:47,"20,000",일시불,12,51948141,승인,1047334508
106,신나라콜라텍2,2025-12-25 13:03:15,"17,000",일시불,03,95482240,승인,1047334508
107,에스케이클린텍(사),2025-12-25 13:01:30,"320,000",일시불,03,89450013,승인,WNO1761703600
108,신나라콜라텍2,2025-12-25 12:57:42,"18,000",일시불,12,51781649,승인,1047334508
109,신나라콜라텍2,2025-12-25 12:53:57,"15,000",일시불,31,83490972,승인,1047334508
110,신나라콜라텍2,2025-12-25 12:44:56,"20,000",일시불,07,30045592,승인,1047334508
111,가을다방,2025-12-25 12:41:12,"9,000",일시불,01,34930207,승인,1047388121
112,신나라콜라텍2,2025-12-25 12:40:45,"19,000",일시불,07,20080859,승인,1047334508
113,신나라콜라텍2,2025-12-25 12:32:55,"23,000",일시불,01,34900125,승인,1047334508
114,가을다방,2025-12-25 12:24:13,"27,000",일시불,02,23176149,승인,1047388121
115,신나라콜라텍2,2025-12-25 12:17:19,"5,000",일시불,31,83570966,승인,1047334508
116,신나라콜라텍2,2025-12-25 12:16:38,"31,000",일시불,31,83050950,승인,1047334508
117,신나라콜라텍2,2025-12-25 12:14:21,"38,000",일시불,07,30033327,승인,1047334508
118,신나라콜라텍2,2025-12-25 12:03:13,"23,000",일시불,01,34732249,승인,1047334508
119,라온호텔호남뷔페,2025-12-25 09:45:11,"24,000",일시불,01,34061914,승인,1047401852
120,시앤유,2025-12-25 09:40:23,"3,000,000",12개월,03,89229358,승인,WNO1754986085
121,귀한족발가락시장점,2025-12-25 09:35:17,"149,000",일시불,01,34022875,승인,1047365675
122,라온호텔호남뷔페,2025-12-25 09:26:15,"24,000",일시불,06,39236332,승인,1047401852
123,귀한족발가락시장점,2025-12-25 09:25:14,"211,000",일시불,06,39230949,승인,1047365675
124,시앤유,2025-12-25 08:37:41,"2,000,000",12개월,03,38870119,승인,WNO1754986085
125,라온호텔호남뷔페,2025-12-25 08:24:13,"12,000",일시불,06,38899773,승인,1047401852
126,귀한족발가락시장점,2025-12-25 07:23:11,"62,000",일시불,12,49531732,승인,1047365675
127,라온호텔호남뷔페,2025-12-25 06:59:09,"48,000",일시불,01,33660410,승인,1047401852
128,라온,2025-12-25 02:41:10,"425,000",일시불,04,80920955,승인,1047373152
129,스타BAR(즉),2025-12-25 02:37:09,"250,000",일시불,15,83510984,승인,1047406303
130,무지개노래클럽(즉),2025-12-25 02:30:11,"300,000",일시불,01,33324857,승인,1047385323
131,스타BAR(즉),2025-12-25 02:12:09,"350,000",일시불,15,85710976,승인,1047406303
132,라온,2025-12-25 02:05:14,"1,480,000",일시불,01,33284566,승인,1047373152
133,퀸(즉),2025-12-25 01:27:06,"350,000",일시불,23,33214695,승인,1047401442
134,꽃보다한우(즉),2025-12-25 01:01:12,"900,000",일시불,04,41885221,승인,1047363479
135,퀸(즉),2025-12-25 00:37:15,"560,000",일시불,01,32974725,승인,1047401442
136,스타BAR(즉),2025-12-24 23:56:15,"600,000",5개월,01,32850961,승인,1047406303
137,무지개노래클럽(즉),2025-12-24 23:15:21,"230,000",일시불,01,32685255,승인,1047385323
138,황해(즉),2025-12-24 23:14:15,"450,000",일시불,02,30001756,승인,1047406299
139,골탕,2025-12-24 22:47:16,"99,000",일시불,02,30028464,승인,1047385085
140,희황제(즉),2025-12-24 22:34:11,"88,000",일시불,01,32506318,승인,1047411042
141,서울35아1741,2025-12-24 22:14:16,"83,400",일시불,12,48517480,승인,1047369580
142,스시정(즉),2025-12-24 22:11:15,"680,000",일시불,01,32397537,승인,1047371257
143,젠틀맨(즉),2025-12-24 22:09:12,"1,050,000",5개월,04,46994856,승인,1047386405
144,젠틀맨(즉),2025-12-24 21:53:17,"1,100,000",3개월,12,48394490,승인,1047386405
145,에비앙,2025-12-24 21:46:19,"550,000",일시불,01,32270551,승인,1047373517
146,에비앙,2025-12-24 21:46:19,"1,000,000",일시불,01,32259600,승인,1047373517
147,에비앙,2025-12-24 21:46:16,"450,000",일시불,01,32271468,승인,1047373517
148,퀸(즉),2025-12-24 21:44:17,"450,000",일시불,02,22026798,승인,1047401442
149,퀸(즉),2025-12-24 21:36:07,"850,000",일시불,12,48291927,승인,1047401442
150,나인(송파),2025-12-24 21:33:11,"990,000",일시불,02,30063269,승인,1047369914
151,어부의딸,2025-12-24 21:17:17,"69,000",일시불,06,35885942,승인,1047375472
152,귀한족발가락시장점,2025-12-24 21:15:13,"83,000",일시불,12,48143674,승인,1047365675
153,귀한족발가락시장점,2025-12-24 21:09:16,"43,000",일시불,06,35794706,승인,1047365675
154,어부의딸,2025-12-24 21:02:16,"84,000",일시불,12,48049302,승인,1047375472
155,젠틀맨(즉),2025-12-24 20:57:16,"1,600,000",3개월,03,21304601,승인,1047386405
156,더플하우스(즉),2025-12-24 20:56:15,"1,200,000",일시불,12,47998711,승인,1047407416
157,미스트롯칠공팔공,2025-12-24 20:49:08,"140,000",일시불,12,47950447,승인,1047384064
158,귀한족발가락시장점,2025-12-24 20:36:16,"132,000",일시불,15,85272884,승인,1047365675
159,퀸(즉),2025-12-24 20:27:14,"450,000",일시불,12,47762073,승인,1047401442
160,골탕,2025-12-24 20:26:11,"76,000",일시불,02,30019659,승인,1047385085
161,에비앙,2025-12-24 20:21:13,"600,000",일시불,01,31757237,승인,1047373517
162,에비앙,2025-12-24 20:20:11,"600,000",일시불,01,31749057,승인,1047373517
163,귀한족발가락시장점,2025-12-24 20:20:09,"31,000",일시불,07,00693841,승인,1047365675
164,에비앙,2025-12-24 20:19:09,"600,000",일시불,01,31746028,승인,1047373517
165,귀한족발가락시장점,2025-12-24 20:19:08,"82,000",일시불,21,31752126,승인,1047365675
166,시앤유,2025-12-24 20:10:20,"2,000,000",12개월,03,51660553,승인,WNO1754986085
167,골탕,2025-12-24 20:05:15,"61,000",일시불,02,20272487,승인,1047385085
168,젠틀맨(즉),2025-12-24 20:03:08,"2,970,000",3개월,03,20304601,승인,1047386405
169,귀한족발가락시장점,2025-12-24 19:59:15,"68,000",일시불,03,29215502,승인,1047365675
170,어부의딸,2025-12-24 19:49:12,"90,000",일시불,01,31554739,승인,1047375472
171,시앤유,2025-12-24 19:46:54,"4,500,000",일시불,04,00438131,승인,WNO1754986085
172,시앤유,2025-12-24 19:46:36,"5,000,000",일시불,04,00262735,승인,WNO1754986085
173,초콜릿(즉),2025-12-24 19:05:20,"600,000",3개월,06,34048994,승인,1047400435
174,푸라닭서초2동점,2025-12-24 19:04:12,"25,900",일시불,04,34203050,승인,1047365188
175,푸라닭서초2동점,2025-12-24 18:54:10,"51,700",일시불,08,51953043,승인,1047365188
176,푸라닭서초2동점,2025-12-24 18:52:07,"47,300",일시불,01,31020581,승인,1047365188
177,푸라닭서초2동점,2025-12-24 18:50:12,"26,900",일시불,06,33605768,승인,1047365188
178,거북이(즉),2025-12-24 18:37:12,"320,000",일시불,07,00555060,승인,1047406300
179,시앤유,2025-12-24 18:31:52,"500,000",3개월,07,30041401,승인,WNO1754986085
180,푸라닭서초2동점,2025-12-24 18:22:14,"18,900",일시불,01,30789483,승인,1047365188
181,시앤유,2025-12-24 18:15:08,"3,000,000",3개월,07,30041399,승인,WNO1754986085
182,귀한족발가락시장점,2025-12-24 18:10:10,"63,000",일시불,07,00762585,승인,1047365675
183,귀한족발가락시장점,2025-12-24 17:57:10,"49,000",일시불,03,42740643,승인,1047365675
184,푸라닭서초2동점,2025-12-24 17:53:07,"18,900",일시불,02,30053695,승인,1047365188
185,푸라닭서초2동점,2025-12-24 17:37:16,"10,400",일시불,02,30121084,승인,1047365188
186,지에스25대부타운점,2025-12-24 17:29:13,"36,000",일시불,07,00557760,승인,1047369576
187,신나라콜라텍2,2025-12-24 17:22:44,"23,000",일시불,12,45752755,승인,1047334508
188,창경,2025-12-24 17:07:13,"2,000,000",5개월,04,93442163,승인,1047383437
189,신나라콜라텍2,2025-12-24 17:02:36,"7,000",일시불,02,30530603,승인,1047334508
190,신나라콜라텍2,2025-12-24 16:43:03,"23,000",일시불,12,45242891,승인,1047334508
191,거북이(즉),2025-12-24 16:38:17,"320,000",일시불,07,00572814,승인,1047406300
192,스시정(즉),2025-12-24 16:30:15,"880,000",일시불,01,68987877,승인,1047371257
193,신나라콜라텍2,2025-12-24 16:27:26,"2,000",일시불,12,45043740,승인,1047334508
194,에스케이클린텍(사),2025-12-24 16:24:29,"380,000",일시불,03,07166096,승인,WNO1761703600
195,스위트(즉),2025-12-24 16:24:11,"400,000",일시불,12,44974650,승인,1047406366
196,신나라콜라텍2,2025-12-24 16:20:38,"13,000",일시불,31,83480189,승인,1047334508
197,스위트(즉),2025-12-24 16:09:11,"300,000",일시불,08,61241242,승인,1047406366
198,신나라콜라텍2,2025-12-24 15:47:04,"3,000",일시불,07,30012017,승인,1047334508
199,가을다방,2025-12-24 15:46:07,"23,000",일시불,03,14979621,승인,1047388121
200,신나라콜라텍2,2025-12-24 15:44:41,"3,000",일시불,02,29177676,승인,1047334508
201,신나라콜라텍2,2025-12-24 15:44:20,"11,000",일시불,02,29180182,승인,1047334508
202,귀한족발가락시장점,2025-12-24 15:42:09,"39,000",일시불,08,40220423,승인,1047365675
203,신나라콜라텍2,2025-12-24 15:39:23,"33,000",일시불,01,68587628,승인,1047334508
204,신나라콜라텍2,2025-12-24 15:22:32,"8,000",일시불,07,30074079,승인,1047334508
205,신나라콜라텍2,2025-12-24 15:21:19,"8,000",일시불,07,30074068,승인,1047334508
206,신나라콜라텍2,2025-12-24 15:19:13,"10,000",일시불,02,28805785,승인,1047334508
207,신나라콜라텍2,2025-12-24 15:12:12,"10,000",일시불,07,30074057,승인,1047334508
208,신나라콜라텍2,2025-12-24 15:11:26,"4,000",일시불,02,28694264,승인,1047334508
209,푸라닭서초2동점,2025-12-24 15:11:09,"29,900",일시불,01,68077197,승인,1047365188
210,신나라콜라텍2,2025-12-24 15:11:09,"16,000",일시불,12,44048522,승인,1047334508
211,신나라콜라텍2,2025-12-24 15:05:45,"14,000",일시불,01,68066889,승인,1047334508
212,신나라콜라텍2,2025-12-24 15:00:34,"4,000",일시불,07,30056593,승인,1047334508
213,신나라콜라텍2,2025-12-24 14:58:20,"13,000",일시불,31,83801821,승인,1047334508
214,신나라콜라텍2,2025-12-24 14:56:52,"13,000",일시불,01,68008048,승인,1047334508
215,시앤유,2025-12-24 14:51:47,"1,386,000",3개월,12,43795741,승인,WNO1754986085
216,시앤유,2025-12-24 14:48:40,"2,500,000",6개월,01,67962875,승인,WNO1754986085
217,신나라콜라텍2,2025-12-24 14:42:52,"19,000",일시불,04,00753682,승인,1047334508
218,신나라콜라텍2,2025-12-24 14:36:10,"16,000",일시불,02,28182986,승인,1047334508
219,신나라콜라텍3,2025-12-24 14:31:23,"2,500",일시불,07,30015783,승인,1047334509
220,거북이(즉),2025-12-24 14:27:16,"650,000",일시불,07,00265068,승인,1047406300
221,신나라콜라텍2,2025-12-24 14:22:43,"3,000",일시불,12,43422632,승인,1047334508
222,플레이원(사),2025-12-24 14:05:41,"2,200,000",3개월,08,05389802,승인,WNS1763625613
223,푸라닭서초2동점,2025-12-24 14:01:15,"52,400",일시불,01,67486420,승인,1047365188
224,신나라콜라텍2,2025-12-24 13:55:39,"8,000",일시불,02,27599422,승인,1047334508
225,신나라콜라텍2,2025-12-24 13:46:36,"4,000",일시불,12,42966258,승인,1047334508
226,신나라콜라텍2,2025-12-24 13:44:44,"6,000",일시불,02,27435872,승인,1047334508
227,신나라콜라텍2,2025-12-24 13:44:25,"13,000",일시불,07,30016028,승인,1047334508
228,신나라콜라텍2,2025-12-24 13:43:17,"10,000",일시불,31,83481143,승인,1047334508
229,올빼미카워시,2025-12-24 13:42:06,"66,000",일시불,02,30067080,승인,1047363400
230,귀한족발가락시장점,2025-12-24 13:37:12,"5,000",일시불,15,84931188,승인,1047365675
231,귀한족발가락시장점,2025-12-24 13:34:11,"11,000",일시불,15,82571174,승인,1047365675
232,나인(송파),2025-12-24 13:33:09,"33,000",일시불,01,67170357,승인,1047369914
233,신나라콜라텍2,2025-12-24 13:32:08,"23,000",일시불,12,42786639,승인,1047334508
234,신나라콜라텍2,2025-12-24 13:26:01,"13,000",일시불,02,27157660,승인,1047334508
235,신나라콜라텍2,2025-12-24 13:25:18,"13,000",일시불,12,42702079,승인,1047334508
236,가을다방,2025-12-24 13:23:09,"11,000",일시불,01,67038976,승인,1047388121
237,신나라콜라텍2,2025-12-24 13:20:08,"10,000",일시불,07,30023207,승인,1047334508
238,신나라콜라텍2,2025-12-24 13:19:23,"20,000",일시불,07,30117495,승인,1047334508
239,신나라콜라텍2,2025-12-24 13:18:17,"13,000",일시불,07,30056582,승인,1047334508
240,신나라콜라텍2,2025-12-24 13:14:00,"14,000",일시불,01,67005013,승인,1047334508
241,신나라콜라텍2,2025-12-24 13:12:20,"14,000",일시불,02,26947511,승인,1047334508
242,신나라콜라텍2,2025-12-24 13:09:34,"20,000",일시불,01,66981218,승인,1047334508
243,신나라콜라텍2,2025-12-24 13:06:10,"15,000",일시불,02,26848387,승인,1047334508
244,신나라콜라텍2,2025-12-24 13:04:16,"13,000",일시불,27,39793000,승인,1047334508
245,가을다방,2025-12-24 12:58:15,"21,000",일시불,06,26703499,승인,1047388121
246,귀한족발가락시장점,2025-12-24 12:53:17,"340,000",일시불,03,08107806,승인,1047365675
247,플레이원(사),2025-12-24 12:46:09,"55,000",일시불,07,30012585,승인,WNS1763625613
248,진진식당,2025-12-24 12:44:16,"170,000",일시불,03,21108600,승인,1047363147
249,신나라콜라텍2,2025-12-24 12:33:03,"15,000",일시불,02,26286904,승인,1047334508
250,신나라콜라텍2,2025-12-24 12:32:51,"-17,000",일시불,02,26265663,취소,1047334508
251,신나라콜라텍2,2025-12-24 12:31:48,"17,000",일시불,02,26265663,승인취소,1047334508
252,귀한족발가락시장점,2025-12-24 11:33:12,"38,000",일시불,15,83503407,승인,1047365675
253,에스케이클린텍(사),2025-12-24 11:22:28,"280,000",일시불,31,85716954,승인,WNO1761703600
254,귀한족발가락시장점,2025-12-24 10:11:13,"86,000",일시불,15,84033196,승인,1047365675
255,귀한족발가락시장점,2025-12-24 09:26:11,"5,000",일시불,02,30042239,승인,1047365675
256,귀한족발가락시장점,2025-12-24 09:24:21,"92,000",일시불,12,76781310,승인,1047365675
257,귀한족발가락시장점,2025-12-24 09:02:12,"66,000",일시불,02,30042228,승인,1047365675
258,라온호텔호남뷔페,2025-12-24 08:38:16,"24,000",일시불,02,26479451,승인,1047401852
259,라온호텔호남뷔페,2025-12-24 08:32:19,"24,000",일시불,03,20301801,승인,1047401852
260,귀한족발가락시장점,2025-12-24 08:06:09,"71,000",일시불,12,76337613,승인,1047365675
261,라온호텔호남뷔페,2025-12-24 08:03:09,"12,000",일시불,01,65132238,승인,1047401852
262,라온호텔호남뷔페,2025-12-24 07:43:14,"12,000",일시불,15,85900819,승인,1047401852
263,라온호텔호남뷔페,2025-12-24 07:21:13,"100,000",일시불,03,22608400,승인,1047401852
264,귀한족발가락시장점,2025-12-24 06:33:16,"43,000",일시불,02,30151044,승인,1047365675
265,스위트(즉),2025-12-24 04:04:11,"170,000",일시불,06,22488397,승인,1047406366
266,신세계,2025-12-24 02:55:09,"200,000",일시불,12,75928337,승인,1047380775
267,신세계,2025-12-24 02:55:08,"350,000",일시불,12,75928608,승인,1047380775
268,루비,2025-12-24 02:25:28,"540,000",일시불,07,30154319,승인,1047366550
269,퀸(즉),2025-12-24 01:52:12,"620,000",일시불,12,75861765,승인,1047401442
270,거북이(즉),2025-12-24 01:45:11,"900,000",일시불,08,39854003,승인,1047406300
271,베이직A(즉),2025-12-24 01:19:08,"3,780,000",일시불,03,14507901,승인,1047410799
272,베이직A(즉),2025-12-24 01:18:15,"500,000",일시불,01,64504601,승인,1047410799
273,럭셔리(즉),2025-12-24 00:52:17,"440,000",일시불,07,00454976,승인,1047406302
274,럭셔리(즉),2025-12-24 00:52:16,"100,000",일시불,02,30001986,승인,1047406302
275,럭셔리(즉),2025-12-24 00:51:11,"330,000",일시불,02,30001975,승인,1047406302
276,퀸(즉),2025-12-24 00:36:13,"500,000",일시불,06,21623810,승인,1047401442
277,스타BAR(즉),2025-12-24 00:22:09,"1,320,000",일시불,06,21539422,승인,1047406303
278,꽃보다한우(즉),2025-12-24 00:07:11,"880,000",일시불,01,64215727,승인,1047363479
279,골탕,2025-12-24 00:07:11,"79,000",일시불,01,64222989,승인,1047385085
280,신세계,2025-12-23 23:44:09,"900,000",일시불,03,25401001,승인,1047380775
281,럭셔리스카이(즉),2025-12-23 23:34:11,"1,750,000",일시불,01,64110880,승인,1047407409
282,루비,2025-12-23 23:30:59,"350,000",일시불,01,64099206,승인,1047366550
283,골탕,2025-12-23 23:23:18,"117,000",일시불,04,94817753,승인,1047385085
284,귀한족발가락시장점,2025-12-23 23:08:13,"44,000",일시불,02,30069782,승인,1047365675
285,풀하우스(즉),2025-12-23 23:00:15,"350,000",일시불,06,21086169,승인,1047400436
286,라온,2025-12-23 22:43:10,"620,000",일시불,01,63917600,승인,1047373152
287,가을다방,2025-12-23 22:28:19,"20,000",일시불,08,22149428,승인,1047388121
288,풀하우스(즉),2025-12-23 22:05:10,"470,000",5개월,04,62905211,승인,1047400436
289,스타BAR(즉),2025-12-23 21:41:11,"1,220,000",일시불,07,00927889,승인,1047406303
290,풀하우스(즉),2025-12-23 21:08:08,"640,000",일시불,01,63478576,승인,1047400436
291,크라운족발야탑점,2025-12-23 20:27:15,"58,000",일시불,01,63272701,승인,1047363149
292,크라운족발야탑점,2025-12-23 20:27:14,"149,000",일시불,01,63268816,승인,1047363149
293,거북이(즉),2025-12-23 20:26:11,"3,620,000",일시불,02,30006670,승인,1047406300
294,어부의딸,2025-12-23 20:14:13,"74,000",일시불,02,30007755,승인,1047375472
295,시앤유,2025-12-23 20:12:45,"4,400,000",일시불,02,19615967,승인,WNO1754986085
296,시앤유,2025-12-23 20:07:59,"2,500,000",3개월,04,00515104,승인,WNO1754986085
